program,sw_time
390.c,63299.357891082764
391.c,60263.56220245361
392.c,59984.09986495972
393.c,60809.88645553589
395.c,60243.52312088013
397.c,59761.47651672363
399.c,59810.38808822632
401.c,59823.14348220825
402.c,59942.13819503784
403.c,59851.109981536865
404.c,72247.17140197754
406.c,59059.6079826355
407.c,60238.4090423584
408.c,59054.31509017944
409.c,67205.0952911377
410.c,59362.57839202881
411.c,59199.726581573486
412.c,59121.51336669922
415.c,59072.208404541016
416.c,58901.34572982788
417.c,60146.58212661743
419.c,60256.1354637146
420.c,59072.82829284668
421.c,60077.51226425171
424.c,61956.29835128784
425.c,65767.09747314453
426.c,66561.5439414978
427.c,58842.0033454895
428.c,59926.49793624878
429.c,58315.28902053833
431.c,58621.203899383545
432.c,58429.89683151245
434.c,58271.920680999756
435.c,58292.1028137207
436.c,58941.86496734619
437.c,58469.90346908569
439.c,58509.111404418945
441.c,59960.854053497314
442.c,58076.02405548096
443.c,58366.239070892334
447.c,58808.61282348633
448.c,58657.47928619385
449.c,58084.3448638916
450.c,58138.33475112915
451.c,58279.597759246826
452.c,59253.668785095215
453.c,58006.14356994629
455.c,57924.54481124878
456.c,58935.79721450806
458.c,59560.88304519653
459.c,64623.308181762695
460.c,62686.3956451416
461.c,58691.26319885254
462.c,59919.71492767334
464.c,58635.86664199829
465.c,58368.69478225708
466.c,58413.30289840698
467.c,58325.66022872925
468.c,58454.322814941406
469.c,58803.89213562012
470.c,60209.90610122681
471.c,58635.878562927246
472.c,59207.47518539429
473.c,59082.233905792236
474.c,58315.68241119385
475.c,58259.475231170654
476.c,58239.47191238403
478.c,58358.561992645264
479.c,58145.39194107056
480.c,58023.94151687622
481.c,58962.26167678833
482.c,59191.45345687866
483.c,58047.43766784668
484.c,58629.17900085449
485.c,58810.78243255615
486.c,59512.23373413086
487.c,68431.2105178833
488.c,60155.49898147583
489.c,58311.22398376465
490.c,62723.958492279045
492.c,58389.6279335022
493.c,58091.21131896973
494.c,58289.93320465088
495.c,58612.10823059082
496.c,58280.813694000244
497.c,58520.31707763672
498.c,58091.020584106445
500.c,59318.80474090576
501.c,58782.362937927246
502.c,58202.290534973145
503.c,57996.463775634766
504.c,58407.06825256348
505.c,58559.54885482788
506.c,58304.09526824951
507.c,58142.39978790283
509.c,57987.2727394104
510.c,59111.642837524414
512.c,58113.07430267334
513.c,70049.52430725098
514.c,67390.7995223999
517.c,71482.77759552002
519.c,69810.72425842285
520.c,68507.30180740356
521.c,69249.37963485718
522.c,67294.69299316406
523.c,67076.2300491333
525.c,94478.21378707886
526.c,66539.64519500732
527.c,70747.98345565796
528.c,83691.44201278687
529.c,98782.75394439697
531.c,97791.63599014282
532.c,66898.15521240234
533.c,68287.89710998535
534.c,66925.33493041992
535.c,69336.8911743164
538.c,82390.96403121948
539.c,79963.86289596558
540.c,133163.49983215332
541.c,69136.83414459229
544.c,76757.13300704956
545.c,69257.4143409729
546.c,71309.87644195557
547.c,68458.68825912476
548.c,67659.50918197632
549.c,110635.9601020813
550.c,66251.3256072998
551.c,67486.82260513306
552.c,66614.89009857178
553.c,68333.38737487793
554.c,66572.29661941528
555.c,69780.82656860352
556.c,67322.07536697388
557.c,66868.99662017822
558.c,66543.19763183594
559.c,66367.91229248047
560.c,68022.97830581665
561.c,67246.21057510376
562.c,67470.5982208252
563.c,67083.5018157959
564.c,67575.64544677734
566.c,71197.79586791992
567.c,72501.76668167114
568.c,67263.01908493042
569.c,68885.14757156372
570.c,64633.1787109375
573.c,66293.59722137451
574.c,67252.39753723145
575.c,67106.65225982666
576.c,67251.68228149414
577.c,68232.9773902893
578.c,66489.74418640137
579.c,64845.49045562744
580.c,67075.71744918823
581.c,65529.76369857788
582.c,64744.699001312256
583.c,64406.85987472534
584.c,65046.88262939453
586.c,64849.29323196411
587.c,66719.3055152893
588.c,64950.00123977661
589.c,65549.62396621704
590.c,65253.21006774902
591.c,64752.6741027832
592.c,74594.61688995361
596.c,64279.44898605347
597.c,66665.3037071228
598.c,64726.40037536621
599.c,64820.64723968506
600.c,64667.487144470215
601.c,66699.48101043701
602.c,64256.94227218628
603.c,67696.02298736572
604.c,66175.07934570312
605.c,65597.00965881348
606.c,64575.07610321045
607.c,64522.65977859497
608.c,63892.245292663574
609.c,64028.22732925415
610.c,64376.17540359497
611.c,64373.648166656494
612.c,64855.003356933594
613.c,69833.63628387451
614.c,65213.46569061279
615.c,64386.54661178589
616.c,70114.14766311646
617.c,75977.89764404297
618.c,64508.867263793945
619.c,68204.80823516846
620.c,71428.09629440308
621.c,64654.505252838135
622.c,64888.04817199707
623.c,65002.29835510254
624.c,65360.22424697876
625.c,66647.4461555481
627.c,65299.48711395264
628.c,65508.294105529785
629.c,65805.68552017212
